x, Botö ebänö ,gadämaï,True," ïñömö do wogaabopa , ante bitö ede do ëñëmitapa "
 ," Weocoo ömaabi inte webi adinque , daicawo ",gawëmi,True," adinque , tee mönete webi adinque mönitö bitö beyë dice cedämaï intamöniyaa "
 ," Ayë , Quïëmë daicawo ",gawënäni,True," ince quïëmë beyë wence cete wewënäni ince mïnitö eyepë inte godö cemïni ate në wewënïnäni waa bacedänimpa , ante pönö cegacäimpa "
 ," Ayë , Epapododito daicawo ",gawengampa,True," , ante apënedäni ëñëninque pidipenteidi do wedänipa , ante ëñente wedinque tömengä weetë mïnitö beyë ante nanguï wewente bacampa "
 , Ayë Itota mänïñömö pöninque Pegodo oncönë pö guiite ayongä Pegodo nänöogengä wäänä daicawo ,gawente,True, möïmoga öñongä acantapa 
