 , Ïñempa adocanque ingante pïïninque tömengä wacä ingante ,waadebaingampa,True, 
x," Ayë ëñëñongante , “ Bitö botö Wëmi ïnömi inte në botö ",waadebi,True," ïmipa , ate tobopa ,” ante öönedë ïnö apënecä ëñengacäimpa "
x, Ayë botö tömengä mïñë në godïmo ïñömö tömengä nänö në ,waadebo,True," ïnömo inte tömënä weca ongömo adinque Itota tömengä wäänä ïnante , — Badä ëñëmï "
x," Weë guiicä ayongä ede öönedë ïnö apënedinque , “ Mäningä ïñömö botö Wëñengä ïnongä inte botö në ",waadecä,True, ingampa 
x, Awënë capitäö ingante në cecä ïñongante awënë weetë tömengä ingante nanguï ,waadecantapa,True, 
x, Näna wentecaya ince näëmë ,waadedämaï,True," inte pïincedaimpa , ante pömopa "
x, Weetë Wengonguï ingante në ,waadedäni,True, ïnänite do againgä inte tömengä tömënäni ïnänite pönengampa 
x," Ïninque , Waadete mïni cedincoo cabo të gete baï cedinque mïnitö öönedë waa pönï incoo mïni ente manguinque ñöwo ïñömö waodäni ïnänite ",waadedinque,True, ee ceedäni 
x, Ede Wengonguï tömënäni ïnänite ,waadete,True, godö cecä ate tömënäni wampo pönencedänimpa 
